Road,Slot,1TO2,BASELINE,DBSCAN,LIMITE,RANDOM,XMEANS,ERR_DBSCAN,ERR_XMEANS,ERR_1TO2,ERR_RAND,ERR_LIMITE
-297047307_0,2,0.011145173606432409,0.2625918002964561,0.011145173606432352,0.2625918002964561,0.26259180029645607,0.26259180029645607,False,True,False,True,True
-297047307_0,3,0.1758691551003908,0.1758691551003908,0.1758691551003908,0.1758691551003908,0.1758691551003908,0.1758691551003908,True,True,True,True,True
-297047307_0,4,0.22075093765440426,0.2253795535192922,0.08956939016903986,0.2253795535192922,0.22102320917586818,0.1743519391915835,False,True,True,True,True
-297047307_0,5,0.13052486187845316,0.13052486187845316,0.13052486187845316,0.13052486187845316,0.13052486187845316,0.13052486187845316,True,True,True,True,True
-297047307_0,6,0.3248333425810696,0.32311177738849206,0.0,0.32311177738849206,0.3239986443058806,0.3133562412972197,False,True,True,True,True
-297047307_0,7,0.31795187081705073,0.3179518708170507,0.3179518708170508,0.3179518708170507,0.32845977631047035,0.33546504663941673,True,True,True,True,True
-297047307_0,8,0.4095972526777001,0.3935752893440539,0.4284799892197817,0.3935752893440539,0.3966271891079868,0.4417840138346135,True,True,True,True,True
-297047307_0,9,0.5567451907567796,0.5413342766024346,0.5413342766024346,0.5413342766024346,0.5413342766024346,0.5489338554137775,True,True,True,True,True
-297047307_0,10,0.6680765170911376,0.6264790515653775,0.6135674357865817,0.5849619697854436,0.6491356939561358,0.6974825570078905,True,True,True,True,True
-297047307_0,11,0.8000421602396247,0.7989560357555431,0.8117278880211333,0.6441124286933477,0.8214621552302511,0.7976567295887049,True,True,True,True,False
-297047307_0,12,0.8728845682323825,0.8876812331556257,0.9124782756982776,0.702504154875803,0.8968950860244115,0.9126149492244235,True,True,True,True,False
-297047308_0,1,0.5747284374569807,0.576255225983107,0.5571990616331279,0.576255225983107,0.5748937582115858,0.5172353630042827,True,True,True,True,True
-297047308_0,2,0.6040130458641894,0.5628998587668311,0.5879288983429604,0.5628998587668311,0.5816631873923923,0.5937424450717824,True,True,True,True,True
-297047308_0,3,0.4677802447720583,0.5007290069642056,0.49150878430322426,0.5007290069642056,0.4882992666180132,0.5153580555844213,True,True,True,True,True
-297047308_0,4,0.6754643275383146,0.6754643275383149,0.6754643275383144,0.6258213067362145,0.6792830214461685,0.7002858379393644,True,True,True,True,True
-297047308_0,5,0.4829101343671372,0.48280632363150583,0.48570608524127695,0.48280632363150583,0.4980822473794121,0.510625249698207,True,True,True,True,True
-297047308_0,6,0.6824599809666846,0.6771918013588972,0.67453623819734,0.6511300569695804,0.6714154140336386,0.6598260232308467,True,True,True,True,True
-297047308_0,7,0.5346892861164275,0.5357499328333233,0.5835327928672049,0.46901647146610703,0.5556811202697428,0.5811602629017104,True,True,True,True,True
-8716807#3_0,1,0.32525327665603954,0.3233510449876017,0.3198183290319316,0.3233510449876017,0.32747254693588373,0.32335104498760187,True,True,True,True,True
