Download,Upload,Tempo,Bytes
116.15382859751227,0.0,1586401203.549993,0.0
95.46676201090119,76.43280703823025,1586401205.5619698,153.310546875
94.8886940847676,70.37051680690983,1586401207.5678751,294.939453125
98.54777910967495,67.37119245116295,1586401209.5745356,430.037109375
109.68871540956209,72.94994127486075,1586401211.578604,576.404296875
125.07643885983255,79.11756195432126,1586401213.587303,734.97265625
126.03150213337233,78.40741619843875,1586401215.59501,892.48828125
130.87995062720248,80.08770988160292,1586401217.5985324,1053.248046875
137.67664161000505,80.77006243636912,1586401219.6093404,1215.064453125
140.65330291695878,80.61418489691768,1586401221.61822,1377.08203125
144.55074913532115,80.4086374663255,1586401223.6255643,1538.720703125
154.86510177796578,83.25484176057108,1586401225.6305852,1705.78125
157.5149447301846,82.34083431473292,1586401227.6348362,1870.828125
164.84240004958102,83.77890910578945,1586401229.6389244,2038.7421875
156.27180075063993,78.12761640177271,1586401231.6435447,2195.314453125
161.9349607574306,79.62150544182023,1586401233.65077,2354.9296875
174.3522872540255,83.86773861711835,1586401235.6618018,2523.28125
173.54200758970367,82.13396275037736,1586401237.6721478,2688.48046875
172.4307094940405,80.33070314164436,1586401239.6828508,2850.384765625
180.5098255198002,79.20644513974841,1586401241.6869266,3009.275390625
177.23340387897892,77.36549770389398,1586401243.6905959,3164.23828125
177.8992457987748,77.31062566740181,1586401245.698429,3319.140625
181.85648712373015,77.49771193654412,1586401247.7042115,3474.796875
189.13948890327407,79.30500917551059,1586401249.7154174,3633.984375
183.22458790442616,76.74967085283473,1586401251.724662,3788.173828125
190.5709249342818,79.33359003966765,1586401253.7297847,3947.572265625
181.43605301198,73.52744836891932,1586401255.7372668,4095.00390625
178.93970473134513,72.0206483569843,1586401257.745179,4239.6015625
170.87036344120676,68.11477465733196,1586401259.749811,4376.3603515625
184.7811416926722,73.89608729064375,1586401261.7553349,4524.4853515625
181.47527598652715,70.6529770026483,1586401263.763142,4666.1884765625
179.69045406564544,69.56660045049163,1586401265.7795818,4805.8740234375
195.31899816792836,73.99253430507747,1586401267.7917929,4955.0576171875
188.7814263886318,70.43952273247926,1586401269.800928,5097.1298828125
197.43054252135082,72.93606194971728,1586401271.814775,5243.3837890625
189.2658429904333,69.36135712968762,1586401273.8191903,5383.0361328125
156.10377733825482,54.89129040179549,1586401275.8272836,5493.0341796875
158.75504241209083,54.87366402359004,1586401277.8345163,5603.2431640625
166.51429933184843,57.47741717126802,1586401279.8392668,5718.5966796875
165.65599310037626,57.42330897614512,1586401281.8521326,5834.1611328125
171.100571162251,58.645771925068836,1586401283.8580227,5951.7646484375
169.06842584083054,57.72583658667146,1586401285.8679576,6067.5400390625
160.17301647177166,54.133096090474936,1586401287.8717644,6176.3427734375
150.5544544159495,50.106842970628314,1586401289.8776133,6276.7490234375
165.02627458792023,55.15779826125256,1586401291.8839173,6387.4619140625
156.52340374017467,52.7839796906361,1586401293.8894696,6493.2880859375
157.35271902201492,51.79616225434555,1586401295.8953369,6597.2216796875
168.56252910465628,55.06745094142261,1586401297.9090285,6707.9384765625
174.27148708815673,57.36393897298902,1586401299.9210255,6823.1298828125
151.68860380670972,49.671111161668804,1586401301.927587,6923.0712890625
149.7021983530118,48.673329120280904,1586401303.9394827,7020.7255859375
161.15758472523837,52.77880203114973,1586401305.9484248,7126.9267578125
151.84944179779464,49.12121099531746,1586401307.958046,7225.5869140625
146.21640326591466,47.439974357070206,1586401309.9626276,7320.9306640625
152.8309236731407,48.68654887585864,1586401311.9665341,7418.5244140625
160.35628139998016,50.35750402564611,1586401313.976257,7519.4345703125
154.34127993762985,49.45371780852037,1586401315.983495,7618.8564453125
171.50777511464324,54.77566187025231,1586401317.9967825,7728.7783203125
152.11976694376548,48.176199362396005,1586401320.013946,7825.7646484375
162.4276312788073,51.03442374519588,1586401322.0185838,7928.7138671875
174.5446849933843,54.57791725524583,1586401324.0260444,8038.1123046875
161.67831903557075,50.346236313844244,1586401326.0322218,8139.244140625
164.08996726270814,51.44591235728717,1586401328.0376105,8242.390625
161.96608421128474,49.829274907312325,1586401330.0418692,8342.3125
153.16994648169802,47.676801320887364,1586401332.052849,8437.869140625
159.41464196442607,50.1625775896467,1586401334.0587533,8538.7578125
158.46449174233337,47.614214783354726,1586401336.0647583,8634.279296875
164.042105343249,49.86797415054722,1586401338.0681107,8734.287109375
163.14418669968825,48.99941244271852,1586401340.077061,8832.44921875
155.92646793207496,47.03998655682695,1586401342.0827436,8926.955078125
158.73827181401208,47.36545207353586,1586401344.0900981,9021.912109375
163.80884834848334,49.0244494558481,1586401346.0953107,9120.33203125
166.65581436388194,50.000105120485436,1586401348.0990667,9220.580078125
156.5744003632734,46.32060305669435,1586401350.1032968,9313.38671875
155.74343836595168,45.683416577308165,1586401352.113162,9404.9453125
156.00706847660854,45.4256776161151,1586401354.1192598,9496.24609375
156.12734730589665,46.15098274186508,1586401356.1278052,9588.828125
161.6893031559904,46.6412199459163,1586401358.1326108,9682.50390625
151.94607811367106,43.780016608291085,1586401360.1421533,9770.27734375
166.59242017166645,47.25349196867079,1586401362.1470096,9865.234375
167.31703001098833,47.39597855610471,1586401364.1601017,9960.255859375
168.53025788106743,48.12739283055397,1586401366.1647048,10057.169921875
161.5221604551856,45.67693545136604,1586401368.174116,10148.763671875
164.09838651901012,46.4588178852382,1586401370.1799319,10242.0859375
158.58593171139242,44.771189502187696,1586401372.1863742,10331.880859375
151.95079222176653,42.94455005712584,1586401374.1926973,10418.109375
159.52404535941895,44.7671572190081,1586401376.1977997,10507.83984375
165.21455407540722,46.51006136353881,1586401378.2058947,10601.09765625
153.7137820184873,42.85039810858361,1586401380.2113786,10687.166015625
149.25046950740546,41.23334012693169,1586401382.2180908,10769.841796875
168.2597025323574,46.51960007795779,1586401384.226514,10863.228515625
174.40419937535526,48.32136960268055,1586401386.2324133,10960.271484375
